,norte,este,Recvd Wt.,Au,Ag,Al,As,B,Ba,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,K,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sc,Sr,Ti,V,Zn
58,4626658.0,548668.0,4.04,5.0,0.2,4.1,5.0,10.0,20.0,2.0,2.4,1.9,34.0,55.0,185.0,5.64,10.0,0.02,4.09,4360.0,1.0,0.06,22.0,200.0,240.0,0.01,26.0,38.0,0.11,249.0,887.0
59,4626641.0,548711.0,2.44,5.0,0.2,3.92,9.0,10.0,10.0,2.0,1.94,0.5,24.0,54.0,724.0,6.96,10.0,0.04,2.83,3270.0,1.0,0.06,11.0,200.0,3.0,0.01,23.0,27.0,0.01,221.0,245.0
60,4626659.0,548752.0,4.16,5.0,0.2,3.55,16.0,10.0,60.0,2.0,0.36,0.5,29.0,58.0,981.0,7.32,10.0,0.06,2.88,2600.0,1.0,0.06,14.0,170.0,3.0,0.02,25.0,17.0,0.01,220.0,205.0
61,4626706.0,548740.0,3.58,6.0,0.2,5.21,8.0,10.0,60.0,2.0,0.67,0.5,31.0,61.0,317.0,10.25,10.0,0.06,3.98,3420.0,1.0,0.05,13.0,220.0,5.0,0.01,23.0,6.0,0.01,243.0,300.0
62,4626715.0,548252.0,4.08,416.0,2.5,0.32,748.0,10.0,310.0,2.0,0.12,0.5,1.0,2.0,524.0,3.16,10.0,0.36,0.03,26.0,17.0,0.06,1.0,50.0,4.0,0.54,1.0,34.0,0.01,8.0,3.0
63,4626653.0,548248.0,3.06,5.0,0.2,0.76,22.0,10.0,120.0,2.0,4.36,0.6,20.0,5.0,234.0,7.94,10.0,0.08,1.19,2740.0,3.0,0.07,3.0,500.0,4.0,0.14,19.0,26.0,0.01,160.0,233.0
64,4626754.0,548314.0,4.14,21.0,1.3,0.53,26.0,10.0,80.0,2.0,2.06,0.5,6.0,1.0,9840.0,3.78,10.0,0.22,0.68,679.0,2.0,0.04,1.0,430.0,4.0,0.02,3.0,30.0,0.01,30.0,256.0
65,4626748.0,548366.0,3.46,20.0,1.0,0.45,52.0,10.0,40.0,2.0,0.03,0.5,4.0,1.0,913.0,2.78,10.0,0.23,0.12,211.0,1.0,0.04,1.0,510.0,2.0,0.34,2.0,5.0,0.01,5.0,64.0
66,4626753.0,548393.0,4.54,20.0,0.7,1.84,32.0,10.0,40.0,2.0,0.5,0.5,24.0,3.0,1515.0,8.62,10.0,0.04,2.17,2350.0,2.0,0.05,2.0,590.0,4.0,1.77,15.0,25.0,0.01,102.0,213.0
67,4626696.0,548320.0,2.62,74.0,2.4,0.33,562.0,10.0,30.0,9.0,0.05,0.5,1.0,5.0,673.0,5.27,10.0,0.12,0.02,63.0,5.0,0.04,1.0,570.0,2.0,0.06,2.0,10.0,0.01,11.0,96.0
68,4627073.0,548900.0,3.82,6.0,0.2,3.46,3.0,10.0,60.0,2.0,0.6,0.5,36.0,79.0,10000.0,7.97,10.0,0.1,3.22,1480.0,1.0,0.05,32.0,120.0,2.0,0.04,30.0,15.0,0.01,224.0,200.0
69,4626665.0,548306.0,4.26,9.0,0.2,0.42,4.0,10.0,210.0,2.0,0.04,0.5,4.0,1.0,155.0,4.69,10.0,0.19,0.03,97.0,1.0,0.05,1.0,530.0,2.0,0.17,2.0,14.0,0.01,7.0,73.0
70,4626755.0,549008.0,3.18,5.0,0.2,1.28,9.0,10.0,20.0,2.0,0.24,0.5,9.0,2.0,8.0,4.69,10.0,0.13,1.15,412.0,1.0,0.08,2.0,520.0,2.0,3.45,9.0,3.0,0.1,80.0,47.0
71,4626750.0,549063.0,4.66,5.0,0.2,1.45,5.0,10.0,20.0,2.0,0.02,0.5,7.0,3.0,112.0,4.23,10.0,0.18,0.95,356.0,1.0,0.09,1.0,400.0,6.0,1.31,7.0,6.0,0.01,76.0,35.0
72,4626751.0,549094.0,4.46,5.0,0.2,1.78,2.0,10.0,180.0,2.0,0.1,0.5,7.0,2.0,49.0,3.8,10.0,0.12,1.08,1005.0,1.0,0.06,2.0,590.0,2.0,0.42,6.0,6.0,0.01,39.0,88.0
73,4626758.0,549165.0,3.82,8.0,0.2,0.43,6.0,10.0,60.0,2.0,0.04,0.5,1.0,1.0,35.0,2.28,10.0,0.24,0.03,52.0,2.0,0.07,1.0,560.0,2.0,0.19,3.0,6.0,0.01,4.0,42.0
74,4626765.0,548957.0,3.92,5.0,0.2,6.26,6.0,10.0,20.0,2.0,1.7,0.5,39.0,66.0,12.0,11.4,10.0,0.04,5.43,3950.0,1.0,0.04,20.0,210.0,2.0,0.02,36.0,17.0,0.01,254.0,357.0
75,4626800.0,548852.0,3.62,12.0,2.7,0.38,55.0,10.0,50.0,8.0,0.04,0.5,1.0,4.0,5240.0,2.92,10.0,0.18,0.02,55.0,3.0,0.03,1.0,560.0,6.0,0.04,1.0,8.0,0.01,9.0,27.0
76,4626761.0,548842.0,4.5,5.0,0.2,4.76,2.0,10.0,80.0,2.0,1.69,0.5,38.0,34.0,241.0,7.19,10.0,0.07,5.16,5170.0,1.0,0.04,14.0,250.0,3.0,0.02,33.0,16.0,0.01,245.0,1060.0
77,4626815.0,548942.0,4.78,5.0,0.2,3.37,4.0,10.0,40.0,2.0,1.53,0.5,41.0,70.0,119.0,6.32,10.0,0.03,3.59,1925.0,1.0,0.08,28.0,170.0,2.0,0.02,27.0,21.0,0.23,217.0,208.0
78,4626837.0,548969.0,3.8,5.0,0.4,3.69,6.0,10.0,20.0,2.0,0.09,0.5,30.0,61.0,1805.0,7.73,10.0,0.05,2.92,2590.0,1.0,0.05,13.0,130.0,2.0,0.05,19.0,4.0,0.01,168.0,210.0
79,4626956.0,548842.0,4.24,6.0,0.2,0.45,10.0,10.0,100.0,2.0,0.08,0.8,3.0,2.0,1875.0,2.42,10.0,0.14,0.05,104.0,4.0,0.08,1.0,580.0,2.0,0.08,4.0,12.0,0.01,11.0,76.0
80,4626966.0,548891.0,3.36,11.0,0.2,0.98,8.0,10.0,200.0,2.0,0.17,0.5,3.0,17.0,376.0,8.85,10.0,0.22,0.12,79.0,1.0,0.05,4.0,330.0,2.0,0.07,14.0,16.0,0.01,237.0,59.0
81,4626808.0,549001.0,3.26,5.0,0.2,2.63,4.0,10.0,40.0,2.0,0.66,0.5,20.0,3.0,97.0,5.89,10.0,0.05,2.06,2250.0,1.0,0.07,4.0,560.0,3.0,1.7,17.0,14.0,0.19,180.0,184.0
