,,Recvd Wt.,Au,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,Hg,K,La,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Sr,Th,Ti,Tl,U,V,W,Zn,
NORTE,ESTE,kg,ppb,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,%,ppm,ppm,%,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,
4626709,548504,3.44,6,<0.2,2.27,5,<10,30,<0.5,<2,0.34,<0.5,3,2,385,4.61,10,<1,0.11,10,1.15,726,1,0.09,4,500,3,0.06,<2,12,15,<20,0.01,<10,<10,80,<10,94,
4626701,548547,04.08,<5,<0.2,4.67,6,<10,<10,<0.5,<2,0.87,<0.5,37,95,133,6.18,10,<1,0.01,<10,5.28,3190,<1,0.06,51,210,3,<0.01,<2,27,38,<20,0.19,<10,<10,231,<10,407,
4626861,548363,5.4,20,0.3,0.5,15,10,30,<0.5,<2,0.18,<0.5,6,1,104,3.93,<10,<1,0.18,<10,2.12,1115,1,0.03,1,500,3,0.88,<2,3,6,<20,<0.01,<10,<10,8,<10,230,
4626802,548370,5.36,18,0.3,0.56,7,<10,30,<0.5,<2,0.03,<0.5,5,2,611,3.34,<10,1,0.23,<10,0.09,320,2,0.03,<1,450,<2,0.14,<2,2,5,<20,<0.01,<10,<10,7,<10,161,
4626699,548353,2.72,274,<0.2,0.48,71,<10,40,<0.5,<2,0.08,<0.5,5,1,579,5.32,<10,<1,0.15,<10,0.02,83,3,0.03,<1,520,<2,0.05,<2,2,5,<20,<0.01,<10,<10,7,<10,212,
4626707,548394,3.42,6,<0.2,1.47,11,<10,140,<0.5,<2,0.02,<0.5,9,8,31,3.35,10,<1,0.12,<10,1.43,549,1,0.08,3,260,<2,1.38,<2,7,6,<20,<0.01,<10,<10,100,<10,66,
4626713,548451,3.82,19,<0.2,2.59,26,<10,190,<0.5,2,0.28,<0.5,10,47,253,7.13,10,<1,0.15,<10,1.44,1060,<1,0.05,10,210,2,0.04,<2,19,44,<20,0.02,<10,<10,230,<10,152,
4626656,548361,2.82,29,0.6,0.4,27,<10,40,<0.5,<2,0.03,<0.5,2,1,408,3.41,<10,<1,0.16,<10,0.02,55,1,0.04,<1,310,<2,0.02,<2,2,3,<20,<0.01,<10,<10,11,<10,70,
4626649,548403,4.58,46,2.2,0.55,35,<10,70,<0.5,2,0.03,<0.5,<1,2,379,4.45,<10,<1,0.21,<10,0.03,22,3,0.03,<1,420,2,0.09,<2,3,10,<20,<0.01,<10,<10,18,<10,20,
4626658,548455,3.82,<5,<0.2,4.16,2,<10,30,<0.5,<2,0.06,<0.5,7,152,111,6.25,10,<1,0.04,<10,4.57,294,<1,0.05,39,160,<2,0.05,<2,29,5,<20,0.09,<10,<10,270,<10,52,
4626656,548504,3.66,16,<0.2,3.86,7,<10,170,<0.5,2,0.06,<0.5,11,105,264,09.05,10,<1,0.12,<10,3.12,1310,1,0.05,23,180,4,0.76,<2,24,11,<20,0.18,<10,<10,257,<10,125,
4626694,548603,3.1,<5,0.3,4.89,6,10,10,<0.5,<2,3.21,2.2,34,80,91,6.28,10,<1,0.02,<10,4.91,5980,1,0.06,41,250,926,<0.01,<2,27,51,<20,0.07,<10,<10,250,<10,2490,
4626641,548562,2.62,<5,<0.2,3.68,3,<10,10,<0.5,<2,0.67,<0.5,21,11,253,6.65,10,<1,0.04,<10,2.47,1870,1,0.07,8,510,4,<0.01,<2,19,26,<20,0.14,<10,<10,191,<10,134,
4626641,548607,3.36,<5,<0.2,3.92,5,<10,30,<0.5,<2,0.49,<0.5,19,10,100,7.11,10,<1,0.09,<10,2.67,1940,1,0.05,9,460,3,0.01,<2,16,28,<20,0.05,<10,<10,187,<10,172,
4626658,548668,04.04,<5,<0.2,4.1,5,<10,20,<0.5,<2,2.4,1.9,34,55,185,5.64,10,<1,0.02,<10,04.09,4360,1,0.06,22,200,240,<0.01,<2,26,38,<20,0.11,<10,<10,249,<10,887,
4626641,548711,2.44,<5,0.2,3.92,9,10,10,<0.5,<2,1.94,0.5,24,54,724,6.96,10,<1,0.04,<10,2.83,3270,1,0.06,11,200,3,0.01,<2,23,27,<20,0.01,<10,<10,221,<10,245,
